Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Price / United States,Compare At Price / United States,Included / International,Price / International,Compare At Price / International,Status
jacquemus-le-chiquito-homme-light-khaki,JACQUEMUS LE CHIQUITO HOMME LIGHT KHAKI,"<p><p>Inspired by the original Chiquito by Jacquemus, this masculine version of the mini bag will have you jumping on the paradoxically big trend of late. Presented in leather with the iconic logo, it features a removable shoulder strap with a leather insert, magnetic closure, and an interior card pocket.</p></p>",Jacquemus,accessories,,"NOTFORLTS, ACCESSORIES, ALL PRODUCTS, BAGS, JACQUEMUS, JACQUEMUS, OUR PICKS, WOMENS, Women, All Women",TRUE,Size,O/S,,,,,,,deny,manual,225.0,450.0,,,,https://notorious-plug.com/cdn/shop/files/JQ_LKHAKIHOMME1.png?v=1748341435,1,,,,,,,,,,,,,,,,,,,,,active
jacquemus-le-chiquito-homme-light-khaki,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JQ_LKHAKIHOMME2.png?v=1748341434,2,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-chiquito-homme-light-khaki,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JQ_LKHAKIHOMME3.png?v=1748341434,3,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-chiquito-homme-light-khaki,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JQ_LKHAKIHOMME4.png?v=1748341434,4,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-chiquito-noeud-light-pink,JACQUEMUS LE CHIQUITO NOEUD LIGHT PINK,"<p><p>Jacquemus' cult 'Le Chiquito' bags are never in stock for long, so you won't want to leave this one lingering in your wish list. Made from smooth leather, it has a structured shape, an artfully twisted handle, and a longer shoulder strap. Match any jewelry to the gold designer lettering.</p><br/>100% Leather</p>",Jacquemus,accessories,,"NOTFORLTS, ACCESSORIES, ALL PRODUCTS, BAGS, JACQUEMUS, JACQUEMUS, OUR PICKS, WOMENS, Women, All Women",TRUE,Size,O/S,,,,,,,deny,manual,375.0,745.0,,,,https://notorious-plug.com/cdn/shop/files/JQ_NOUED_LPINK.png?v=1748334414,1,,,,,,,,,,,,,,,,,,,,,active
jacquemus-le-chiquito-noeud-light-pink,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JQ_NOUED_LPINK2.png?v=1748334414,2,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-chiquito-noeud-light-pink,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JQ_NOUED_LPINK3.png?v=1748334415,3,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-chiquito-noeud-light-pink,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JQ_NOUED_LPINK4.png?v=1748334415,4,,,,,,,,,,,,,,,,,,,,,
jacquemus-le-chiquito-noeud-light-pink,,,,,,,,,,,,,,,,,,,,,,,https://notorious-plug.com/cdn/shop/files/JQ_NOUED_LPINK5.png?v=1748334414,5,,,,,,,,,,,,,,,,,,,,,
nike-dunk-high-1985-green-denim,NIKE DUNK HIGH 1985 GREEN DENIM,"<p><p>Worn well and well-worn, the Dunk returns once again to match the original shape, look and feel of the '85 high top. Sun-washed Enamel Green denim brings the Americana flair. Raw-edge detailing and contrast stitching add a free-spirited look to any 'fit. And the aged midsole delivers a little hook-shot spirit back to the streets. Lace up and take your game anywhere—in cushioned high-top comfort.</p></p>",Nike,all-products-2,,"NOTFORLTS, ALL PRODUCTS, FOOTWEAR, NIKE, OUR PICKS, SNEAKERS, WOMENS, Women, All Women",TRUE,Size,US 5 (W),,,DV1143-300,,,,deny,manual,65.0,125.0,,,,https://notorious-plug.com/cdn/shop/files/DUNK_GREEN1.png?v=1737488263,1,,,,,,,,,,,,,,,,,,,,,active
